League,Date,Team,Opponent,Location,#,Player,PTS,MIN,FGM-A,FG%,3PM-A,3P%,FTM-A,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,Starter,Conference
MBB,2023-11-08,Carnegie Mellon,La Roche,Away,5,Buckley Dejardin,24,22,9-12,75.0,3-4,75.0,3-4,75.0,0,1,1,1,0,0,2,4,True,False
MBB,2023-11-08,Carnegie Mellon,La Roche,Away,4,Justin Allen,16,29,6-11,54.54545454545455,2-3,66.66666666666667,2-2,100.0,1,11,12,6,2,0,8,2,True,False
MBB,2023-11-08,Carnegie Mellon,La Roche,Away,11,Rj Holmes,14,24,5-7,71.42857142857143,2-2,100.0,2-4,50.0,0,5,5,5,0,3,3,4,True,False
MBB,2023-11-08,Carnegie Mellon,La Roche,Away,45,Nolan Casey,6,14,3-3,100.0,0-0,0.0,0-0,0.0,0,3,3,2,0,0,1,1,True,False
MBB,2023-11-08,Carnegie Mellon,La Roche,Away,31,Aidan Booher,5,34,1-2,50.0,1-2,50.0,2-2,100.0,0,3,3,3,0,0,2,1,True,False
MBB,2023-11-08,Carnegie Mellon,La Roche,Away,20,Aidan Murphy,9,21,3-5,60.0,1-3,33.333333333333336,2-2,100.0,1,0,1,0,1,0,0,3,False,False
MBB,2023-11-08,Carnegie Mellon,La Roche,Away,33,Lucas Pavlounis,8,10,4-4,100.0,0-0,0.0,0-0,0.0,2,2,4,0,1,0,1,1,False,False
MBB,2023-11-08,Carnegie Mellon,La Roche,Away,14,Jonathan Milloway,7,14,3-5,60.0,0-0,0.0,1-2,50.0,1,3,4,1,1,1,2,2,False,False
MBB,2023-11-08,Carnegie Mellon,La Roche,Away,22,Sam Andreottola,3,2,1-1,100.0,1-1,100.0,0-0,0.0,0,0,0,0,0,0,0,1,False,False
MBB,2023-11-08,Carnegie Mellon,La Roche,Away,13,Dylan Bronner,0,14,0-2,0.0,0-1,0.0,0-0,0.0,0,0,0,1,1,0,0,1,False,False
MBB,2023-11-08,Carnegie Mellon,La Roche,Away,10,Isaac Higgs,0,4,0-1,0.0,0-1,0.0,0-0,0.0,0,0,0,1,0,0,0,0,False,False
MBB,2023-11-08,Carnegie Mellon,La Roche,Away,3,Michael Acquaah-Harrison,0,2,0-1,0.0,0-0,0.0,0-0,0.0,0,0,0,0,0,0,0,2,False,False
MBB,2023-11-08,Carnegie Mellon,La Roche,Away,12,Dylan Black,0,2,0-1,0.0,0-1,0.0,0-0,0.0,0,0,0,0,0,0,0,0,False,False
MBB,2023-11-08,Carnegie Mellon,La Roche,Away,15,Josiah Smith,0,2,0-0,0.0,0-0,0.0,0-0,0.0,0,0,0,0,0,0,0,0,False,False
MBB,2023-11-08,Carnegie Mellon,La Roche,Away,23,Eric Vandendriessche,0,2,0-0,0.0,0-0,0.0,0-0,0.0,1,0,1,0,0,0,0,0,False,False
MBB,2023-11-08,Carnegie Mellon,La Roche,Away,24,Matt Murphy,0,2,0-0,0.0,0-0,0.0,0-0,0.0,0,0,0,0,0,0,0,0,False,False
MBB,2023-11-08,Carnegie Mellon,La Roche,Away,25,Chase Collignon,0,2,0-0,0.0,0-0,0.0,0-0,0.0,0,0,0,0,0,0,1,0,False,False
MBB,2023-11-08,La Roche,Carnegie Mellon,Home,23,Michael Brooks,18,30,8-16,50.0,0-3,0.0,2-2,100.0,1,3,4,2,3,0,2,2,True,False
MBB,2023-11-08,La Roche,Carnegie Mellon,Home,22,Joe Starzynski,12,30,3-7,42.85714285714285,0-3,0.0,6-6,100.0,1,3,4,1,1,0,1,0,True,False
MBB,2023-11-08,La Roche,Carnegie Mellon,Home,4,Bryce Epps,11,24,5-8,62.5,1-4,25.0,0-0,0.0,2,1,3,0,0,0,0,4,True,False
MBB,2023-11-08,La Roche,Carnegie Mellon,Home,1,Isaiah Thomas,8,24,2-7,28.571428571428573,1-1,100.0,3-4,75.0,1,2,3,1,2,0,0,1,True,False
MBB,2023-11-08,La Roche,Carnegie Mellon,Home,2,Dominic Elliot,2,15,1-3,33.333333333333336,0-1,0.0,0-0,0.0,3,0,3,0,1,0,2,1,True,False
