League,Date,Team,Opponent,Location,PTS,MIN,FGM-A,FG%,3PM-A,3P%,FTM-A,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,Points off Turnovers,2nd Chance Points,Points in the Paint,Fastbreak Points,Bench Points,Conference
MBB,2024-01-02,Carnegie Mellon,Ithaca,Home,69,200,27-66,40.90909090909091,5-30,16.666666666666668,10-15,66.66666666666667,13,34,47,15,4,6,13,15,11,7,38,10,24,False
MBB,2024-01-02,Ithaca,Carnegie Mellon,Away,73,200,24-72,33.333333333333336,12-29,41.37931034482759,13-18,72.22222222222223,17,28,45,15,5,0,9,16,11,13,22,4,21,False
MBB,2024-01-02,Johns Hopkins,Rochester,Home,72,200,24-59,40.67796610169491,10-23,43.47826086956522,14-17,82.3529411764706,13,31,44,12,11,7,17,16,17,9,28,12,25,False
MBB,2024-01-02,Rochester,Johns Hopkins,Away,53,200,20-59,33.898305084745765,4-14,28.571428571428573,9-14,64.28571428571429,12,24,36,7,7,5,18,13,14,7,28,12,37,False
MBB,2024-01-03,Brandeis,Regis (MA),Away,76,200,30-63,47.61904761904762,11-24,45.833333333333336,5-9,55.55555555555556,13,26,39,18,7,1,14,15,23,14,30,13,30,False
MBB,2024-01-03,Chris. Newport,Emory,Away,70,200,26-78,33.333333333333336,6-23,26.08695652173913,12-16,75.0,24,14,38,16,6,1,8,17,19,20,30,0,36,False
MBB,2024-01-03,Emory,Chris. Newport,Home,86,200,32-54,59.25925925925926,11-23,47.82608695652174,11-14,78.57142857142857,10,30,40,20,3,10,19,17,9,11,36,11,19,False
MBB,2024-01-03,Regis (MA),Brandeis,Home,59,200,23-50,46.0,5-14,35.714285714285715,8-12,66.66666666666667,4,23,27,10,6,1,15,9,8,4,28,3,8,False
MBB,2024-01-06,Brandeis,NYU,Away,52,200,19-51,37.25490196078432,7-19,36.8421052631579,7-8,87.5,5,22,27,11,9,5,17,11,12,2,22,6,24,True
MBB,2024-01-06,Carnegie Mellon,Case Western,Home,84,200,29-79,36.70886075949367,8-29,27.58620689655172,18-23,78.26086956521739,23,33,56,9,3,5,8,15,7,21,32,4,29,True
MBB,2024-01-06,Case Western,Carnegie Mellon,Away,74,200,27-68,39.70588235294117,7-30,23.33333333333333,13-20,65.0,12,30,42,10,2,3,10,20,14,7,34,0,21,True
MBB,2024-01-06,Chicago,WashU,Home,69,200,25-53,47.16981132075472,7-19,36.8421052631579,12-13,92.3076923076923,8,29,37,11,0,5,15,15,12,10,24,10,21,True
MBB,2024-01-06,Emory,Rochester,Away,77,200,29-72,40.27777777777778,7-32,21.875,12-18,66.66666666666667,12,24,36,11,11,4,12,17,17,10,42,18,10,True
MBB,2024-01-06,NYU,Brandeis,Home,70,200,28-63,44.44444444444444,6-20,30.0,8-9,88.88888888888889,13,27,40,19,9,2,13,7,19,9,44,12,14,True
